2025-07-04 12:48:49.758010: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-07-04 12:48:49.772499: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1751604529.788765   19778 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1751604529.793581   19778 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1751604529.806883   19778 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1751604529.806908   19778 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1751604529.806912   19778 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1751604529.806915   19778 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
2025-07-04 12:48:49.810705: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
[I 2025-07-04 12:48:51,984] A new study created in RDB with name: GCPNet_4090_hyperopt
/root/autodl-tmp/GCPNET_optuna/main.py:578: ExperimentalWarning: TensorBoardCallback is experimental (supported from v2.0.0). The interface can change in the future.
  callbacks=[TensorBoardCallback(tensorboard_dir, metric_name='val_mae')] # <--- 把它移动到这里
Starting Optuna hyperparameter optimization...
🚀 Using 4090-optimized hyperparameter search space
Running 50 trials...
Results will be saved to: ./output_4090/20250704_124851/GCPNet_4090_hyperopt.db
TensorBoard logs: ./output_4090/20250704_124851/tensorboard_logs
To view real-time progress: tensorboard --logdir ./output_4090/20250704_124851/tensorboard_logs
============================================================

🔍 Trial #0 - 详细显存诊断:
   GPU总显存: 25.28GB
   已分配: 0.00GB
   已缓存: 0.00GB
   可用: 25.28GB
   清理后-已分配: 0.00GB
   清理后-已缓存: 0.00GB
   清理后-可用: 25.28GB

============================================================
🚀 Starting Trial #0 (Memory Safe)
  Parameters:
    - lr: 0.0013203077479228501
    - dropout_rate: 0.1597442635705565
    - weight_decay: 4.08275503287407e-05
    - firstUpdateLayers: 4
    - secondUpdateLayers: 3
    - hidden_features: 160
    - batch_size: 64
============================================================

train length: 12000 val length: 1500 test length: 1500 unused length: 0 seed : 666
[0;31m<<<<<< ⚡️ cuda is used >>>>>>[0m
█epoch     train_loss  train_mae  train_mape  lr        val_loss  val_mae   val_mape  best_val_mae  time    
1.0       0.428       0.428      3.76e+02    0.00132   0.297     0.298     1.44e+02  0.297         25.7      
2.0       0.258       0.258      2.77e+02    0.00132   0.267     0.266     1.22e+02  0.267         25.3      
3.0       0.218       0.218      1.68e+02    0.00132   0.211     0.211     1.93e+02  0.211         25.5      
4.0       0.194       0.194      2.2e+02     0.00132   0.179     0.178     77.2      0.179         25.5      
5.0       0.188       0.188      1.65e+02    0.00132   0.185     0.184     1.39e+02  0.179         25.4      
6.0       0.171       0.172      1.79e+02    0.00132   0.165     0.165     1.81e+02  0.165         25.4      
7.0       0.163       0.163      1.09e+02    0.00132   0.165     0.163     1.65e+02  0.165         25.7      
8.0       0.157       0.157      1.26e+02    0.00132   0.152     0.152     1.54e+02  0.152         25.2      
9.0       0.146       0.146      1.3e+02     0.00132   0.15      0.15      1.86e+02  0.15          25.1      
10.0      0.14        0.14       1.25e+02    0.00132   0.152     0.152     93.5      0.15          25.2      
11.0      0.141       0.141      1.47e+02    0.00132   0.137     0.137     1.16e+02  0.137         25.2      
12.0      0.138       0.138      1.33e+02    0.00132   0.147     0.147     99.7      0.137         24.7      
13.0      0.131       0.131      1.52e+02    0.00132   0.133     0.133     2.62e+02  0.133         25.5      
14.0      0.129       0.129      1.27e+02    0.00132   0.136     0.136     98.5      0.133         25.3      
15.0      0.123       0.123      1.5e+02     0.00132   0.128     0.129     1.3e+02   0.128         25.6      
16.0      0.12        0.12       1.28e+02    0.00132   0.131     0.131     76.2      0.128         25.3      
17.0      0.119       0.119      1.05e+02    0.00132   0.141     0.141     1.77e+02  0.128         25.1      
18.0      0.117       0.117      90.1        0.00132   0.13      0.129     1.85e+02  0.128         25.1      
19.0      0.112       0.112      1.31e+02    0.00132   0.145     0.144     1.77e+02  0.128         25.4      
20.0      0.115       0.115      1.2e+02     0.00132   0.131     0.131     1.87e+02  0.128         25.4      
21.0      0.108       0.108      1.01e+02    0.00132   0.125     0.125     1.75e+02  0.125         26.0      
22.0      0.114       0.114      1.1e+02     0.00132   0.127     0.127     1.25e+02  0.125         25.1      
23.0      0.106       0.106      1.03e+02    0.00132   0.133     0.133     1.37e+02  0.125         24.6      
24.0      0.104       0.103      1.12e+02    0.00132   0.14      0.14      2.33e+02  0.125         25.4      
25.0      0.103       0.103      1.18e+02    0.00132   0.127     0.127     1.94e+02  0.125         25.7      
26.0      0.0999      0.0999     90.4        0.00132   0.112     0.111     2.21e+02  0.112         25.9      
27.0      0.099       0.099      1.11e+02    0.00132   0.113     0.113     2e+02     0.112         25.2      
28.0      0.0937      0.0937     94.7        0.00132   0.126     0.127     1.66e+02  0.112         25.4      
29.0      0.094       0.094      1.03e+02    0.00132   0.12      0.12      1.74e+02  0.112         25.2      
30.0      0.0942      0.0942     84.7        0.00132   0.119     0.119     1.58e+02  0.112         25.2      
31.0      0.0917      0.0917     98.6        0.00132   0.113     0.113     2.18e+02  0.112         25.2      
32.0      0.0888      0.0888     88.3        0.00132   0.119     0.119     2.03e+02  0.112         25.3      
